,^IRX
0,2.322999954223633
1,2.369999885559082
2,2.372999906539917
3,2.369999885559082
4,2.369999885559082
5,2.365000009536743
6,2.365000009536743
7,2.36299991607666
8,2.365000009536743
9,2.375
10,2.359999895095825
11,2.378000020980835
12,2.380000114440918
13,2.365000009536743
14,2.375
15,2.390000104904175
16,2.375
17,2.365000009536743
18,2.359999895095825
19,2.359999895095825
20,2.368000030517578
21,2.36299991607666
22,2.372999906539917
23,2.368000030517578
24,2.36299991607666
25,2.368000030517578
26,2.369999885559082
27,2.369999885559082
28,2.369999885559082
29,2.3499999046325684
30,2.3529999256134033
31,2.3499999046325684
32,2.3380000591278076
33,2.3299999237060547
34,2.319999933242798
35,2.3299999237060547
36,2.319999933242798
37,2.302999973297119
38,2.2880001068115234
39,2.2980000972747803
40,2.2980000972747803
41,2.309999942779541
42,2.2929999828338623
43,2.2799999713897705
44,2.2950000762939453
45,2.2850000858306885
46,2.255000114440918
47,2.2149999141693115
48,2.2200000286102295
49,2.2130000591278076
50,2.1649999618530273
51,2.140000104904175
52,2.125
53,2.138000011444092
54,2.1679999828338623
55,2.125
56,2.078000068664551
57,2.055000066757202
58,2.058000087738037
59,2.0829999446868896
60,2.0929999351501465
61,2.0850000381469727
62,2.0350000858306885
63,2.065000057220459
64,2.1480000019073486
65,2.1500000953674316
66,2.1630001068115234
67,2.177999973297119
68,2.194999933242798
69,2.130000114440918
70,2.0980000495910645
71,2.0899999141693115
72,2.0850000381469727
73,2.1029999256134033
74,2.072999954223633
75,2.013000011444092
76,2.013000011444092
77,2.0250000953674316
78,2.0329999923706055
79,2.0399999618530273
80,2.059999942779541
81,2.062999963760376
82,2.049999952316284
83,2.0399999618530273
84,2.0299999713897705
85,2.0299999713897705
86,2.0
87,1.9529999494552612
88,1.9950000047683716
89,1.968000054359436
90,1.9700000286102295
91,1.9500000476837158
92,1.9279999732971191
93,1.9550000429153442
94,1.9079999923706055
95,1.843000054359436
96,1.8229999542236328
97,1.8530000448226929
98,1.899999976158142
99,1.9279999732971191
100,1.937999963760376
101,1.909999966621399
102,1.9329999685287476
103,1.9429999589920044
104,1.940000057220459
105,1.940000057220459
106,1.9329999685287476
107,1.909999966621399
108,1.9049999713897705
109,1.9199999570846558
110,1.909999966621399
111,1.9079999923706055
112,1.9129999876022339
113,1.9129999876022339
114,1.8949999809265137
115,1.899999976158142
116,1.9450000524520874
117,1.937999963760376
118,1.8799999952316284
119,1.8830000162124634
120,1.850000023841858
121,1.8450000286102295
122,1.8799999952316284
123,1.8450000286102295
124,1.7699999809265137
125,1.7300000190734863
126,1.7699999809265137
127,1.753000020980835
128,1.7350000143051147
129,1.6649999618530273
130,1.6549999713897705
131,1.6729999780654907
132,1.6549999713897705
133,1.628000020980835
134,1.6330000162124634
135,1.6230000257492065
136,1.6180000305175781
137,1.6180000305175781
138,1.6150000095367432
139,1.625
140,1.625
141,1.625
142,1.6150000095367432
143,1.6150000095367432
144,1.6230000257492065
145,1.625
146,1.6050000190734863
147,1.5950000286102295
148,1.5950000286102295
149,1.4980000257492065
150,1.4850000143051147
151,1.503000020980835
152,1.5180000066757202
153,1.5149999856948853
154,1.5180000066757202
155,1.5099999904632568
156,1.5130000114440918
157,1.5329999923706055
158,1.534999966621399
159,1.527999997138977
160,1.527999997138977
161,1.5230000019073486
162,1.524999976158142
163,1.5199999809265137
164,1.5299999713897705
165,1.5429999828338623
166,1.5449999570846558
167,1.565000057220459
168,1.565000057220459
169,1.5399999618530273
170,1.5379999876022339
171,1.5379999876022339
172,1.4980000257492065
173,1.4930000305175781
174,1.4800000190734863
175,1.4980000257492065
176,1.5149999856948853
177,1.5199999809265137
178,1.5299999713897705
179,1.5230000019073486
180,1.524999976158142
181,1.5299999713897705
182,1.5180000066757202
183,1.5329999923706055
184,1.527999997138977
185,1.5199999809265137
186,1.5379999876022339
187,1.534999966621399
188,1.5180000066757202
189,1.4900000095367432
190,1.5049999952316284
191,1.4950000047683716
192,1.4730000495910645
193,1.4880000352859497
194,1.5
195,1.4930000305175781
196,1.5
197,1.4980000257492065
198,1.5099999904632568
199,1.5299999713897705
200,1.5080000162124634
201,1.5180000066757202
202,1.5230000019073486
203,1.503000020980835
204,1.5130000114440918
205,1.5149999856948853
206,1.4900000095367432
207,1.5049999952316284
208,1.5299999713897705
209,1.5199999809265137
210,1.527999997138977
211,1.5099999904632568
212,1.5180000066757202
213,1.5379999876022339
214,1.5199999809265137
215,1.5299999713897705
216,1.5180000066757202
217,1.5199999809265137
218,1.5379999876022339
219,1.534999966621399
220,1.5449999570846558
221,1.534999966621399
222,1.534999966621399
223,1.5429999828338623
224,1.5379999876022339
225,1.5180000066757202
226,1.503000020980835
227,1.4900000095367432
228,1.4780000448226929
229,1.3949999809265137
230,1.2300000190734863
231,1.1349999904632568
232,0.9179999828338623
233,0.675000011920929
234,0.5950000286102295
235,0.41499999165534973
236,0.33000001311302185
237,0.38999998569488525
238,0.36800000071525574
239,0.27300000190734863
240,0.24300000071525574
241,0.1850000023841858
242,0.16500000655651093
243,0.003000000026077032
244,-0.02800000086426735
245,-0.032999999821186066
246,-0.03999999910593033
247,-0.032999999821186066
248,-0.07000000029802322
249,-0.10499999672174454
250,-0.057999998331069946
251,0.013000000268220901
252,0.029999999329447746
253,0.06300000101327896
254,0.06499999761581421
255,0.057999998331069946
256,0.05999999865889549
257,0.12800000607967377
258,0.1850000023841858
259,0.20999999344348907
260,0.20000000298023224
261,0.16500000655651093
262,0.11500000208616257
263,0.10999999940395355
264,0.10300000011920929
265,0.07000000029802322
266,0.09799999743700027
267,0.09300000220537186
268,0.09300000220537186
269,0.10000000149011612
270,0.09300000220537186
271,0.08500000089406967
272,0.09000000357627869
273,0.09000000357627869
274,0.09300000220537186
275,0.09000000357627869
276,0.10999999940395355
277,0.1080000028014183
278,0.0949999988079071
279,0.0949999988079071
280,0.10499999672174454
281,0.12300000339746475
282,0.11500000208616257
283,0.10499999672174454
284,0.10300000011920929
285,0.10499999672174454
286,0.11800000071525574
287,0.11800000071525574
288,0.10999999940395355
289,0.10999999940395355
290,0.11800000071525574
291,0.13500000536441803
292,0.1379999965429306
293,0.12800000607967377
294,0.12800000607967377
295,0.14499999582767487
296,0.14800000190734863
297,0.14000000059604645
298,0.14499999582767487
299,0.15299999713897705
300,0.16500000655651093
301,0.16500000655651093
302,0.15299999713897705
303,0.15000000596046448
304,0.1550000011920929
305,0.1599999964237213
306,0.16500000655651093
307,0.14000000059604645
308,0.14300000667572021
309,0.14000000059604645
310,0.14000000059604645
311,0.13500000536441803
312,0.12999999523162842
313,0.13300000131130219
314,0.125
315,0.13500000536441803
316,0.12999999523162842
317,0.13300000131130219
318,0.12800000607967377
319,0.14000000059604645
320,0.13500000536441803
321,0.12300000339746475
322,0.11999999731779099
323,0.125
324,0.13300000131130219
325,0.125
326,0.10300000011920929
327,0.10499999672174454
328,0.10499999672174454
329,0.10999999940395355
330,0.10000000149011612
331,0.10300000011920929
332,0.09799999743700027
333,0.09300000220537186
334,0.10300000011920929
335,0.09000000357627869
336,0.08500000089406967
337,0.08299999684095383
338,0.07800000160932541
339,0.09000000357627869
340,0.0949999988079071
341,0.08799999952316284
342,0.08799999952316284
343,0.08799999952316284
344,0.10000000149011612
345,0.10000000149011612
346,0.09000000357627869
347,0.08799999952316284
348,0.08500000089406967
349,0.10000000149011612
350,0.0949999988079071
351,0.08799999952316284
352,0.08799999952316284
