Date,QCOM,TSLA,NVDA,TAIT,INTC,AUDC,OLED,CSCO,MSFT,AAPL,ALOT,GRMN,ESLT,TXN,EQIX,CDW,AVGO,INTU,SPNS,BRKR,IDCC,MNDO,EBIX,WSTG,CDK,WDC,ATVI,MKSI,TER,ADI,CCMP,MGIC,LOGI,APWC,SWKS
4/1/2019,53.77035522,19.278667,45.31734467,2.367147207,50.51896286,13.33013439,156.5891266,50.31261063,115.344635,46.5526123,21.00629997,81.94703674,127.562294,100.3995743,434.5383301,95.38365173,274.0888062,260.0856018,14.67690849,38.51885605,62.81409073,1.60784018,48.94651794,10.00159931,57.14209747,47.32139206,46.58655548,92.48757935,41.1852417,102.2731171,110.9008102,7.820644379,38.1847496,2.309999943,80.0055542
4/2/2019,54.03078461,19.058666,45.49633789,2.603862047,50.37995148,14.67718029,158.013031,50.5962944,115.5093918,47.22934341,20.81107521,82.29206848,130.2409973,101.9151688,438.480957,96.01231384,271.632843,262.5420532,15.04601574,38.18192291,62.19790268,1.585509062,47.91872406,10.07361794,56.56509781,48.3482399,46.9227066,92.84997559,41.42182541,102.1125412,110.0925827,7.802242279,38.31953812,2.299999952,80.29175568
4/3/2019,53.64943695,19.454,46.89355469,2.621396303,51.41795349,14.54621887,163.4614258,50.90743637,116.2653122,47.55310059,22.79261589,82.58113861,129.6027679,104.1978302,439.9760132,97.2019577,272.6636047,263.344635,14.93916893,38.65758896,62.88879395,1.578065157,49.4604187,9.956587791,56.31506729,49.91249847,47.11055756,96.54241943,42.97932816,103.7465744,114.864975,7.857447624,38.86833572,2.299999952,81.4365921
4/4/2019,53.81686401,17.851999,46.80405807,2.551258564,51.82572937,14.34042072,161.6123505,50.77850342,115.6741486,47.63585281,23.16354561,82.24544525,129.1772461,104.6506577,439.433197,97.25999451,270.6917725,257.0321655,14.56034756,37.97382736,63.76639175,1.57062149,48.85926056,10.14563751,56.75743484,49.32710648,46.42836761,96.11147308,43.00889969,104.4077377,114.643692,7.986258507,38.75280762,2.289999962,81.57969666
4/5/2019,53.93777084,18.330667,47.47282028,2.524956942,51.52915955,14.61170006,162.1166077,50.84296036,116.187767,47.95474625,23.64184952,82.21746826,132.1944275,105.0110855,444.3662415,97.48243713,272.7352905,256.1219177,14.84203625,38.06300354,64.59731293,1.578065157,49.73191833,10.2626667,56.64203262,49.94129562,46.75463486,97.04193115,43.52150345,105.2766876,116.6738968,8.124269485,38.89722824,2.289999962,82.81041718
4/8/2019,53.72384644,18.213333,47.68165588,2.595094681,51.60330582,15.0232954,163.738266,51.10081863,116.2265396,48.7093544,23.81755257,83.08467102,131.9043121,106.4804764,441.3092651,98.64306641,272.9145813,255.2019501,14.92945671,38.47921753,64.10251617,1.585509062,49.56707764,10.78480244,56.47854233,49.50944519,47.03146362,97.1888504,43.67922211,105.5411682,117.6456757,8.179473877,39.21494675,2.289999962,83.62133026
4/9/2019,53.42620468,18.153999,47.0526619,2.586327553,51.26966095,14.94846153,162.5121765,50.81533813,115.5966187,48.56330872,23.82731247,82.27340698,131.4111176,105.2975693,438.1665955,98.62373352,271.991394,253.8391266,14.98773575,38.30083847,63.54883575,1.592952728,49.36346436,10.46972179,56.07465744,48.08912659,46.47780228,95.15161133,43.07790756,104.3605118,116.2601318,8.133470535,38.75280762,2.299999952,83.06800842
4/10/2019,52.39377975,18.403999,47.75872803,2.524956942,51.66818619,15.126194,165.1424103,51.40471649,116.478508,48.83594513,23.89564133,82.8049469,137.6582031,106.2032318,439.2142029,100.6354599,275.6305237,254.0254211,15.14315033,38.65758896,64.68430328,1.60784018,50.05188751,11.01886272,56.26698303,48.64573288,47.31818008,95.54341125,43.29477692,105.8528595,117.9920578,8.51070118,39.41713715,2.309999943,84.00296021
4/11/2019,51.99382019,17.894667,47.61950684,2.568793058,51.71452332,14.72395134,165.9927826,51.20211411,116.6141891,48.42941666,24.36418152,83.00075531,137.4164581,106.1662521,438.6999817,103.1985016,277.3334961,254.515625,15.3374176,38.73686981,63.22977448,1.63017118,49.34407043,10.88382912,56.58433533,48.78009033,46.63599014,95.61196136,42.98919296,105.6167221,116.2890167,8.547503471,39.31123352,2.299999952,84.18421936
4/12/2019,52.97044754,17.846666,47.23912048,2.717835426,52.28911591,14.65847206,168.6626282,51.83753586,117.2150421,48.40994644,24.57893372,82.94481659,138.5575714,107.9036713,441.2807312,103.4886475,284.1635132,254.9764557,15.23057079,39.23234558,64.27141571,1.63017118,48.96591949,10.85682201,57.38251495,49.73976517,46.74474335,97.43370819,43.51164627,107.8741302,118.3480759,8.556706429,39.99482346,2.289999962,86.51207733
4/15/2019,53.18437576,17.758667,45.91898346,2.752904415,52.15937042,14.78943253,170.7094269,52.08618546,117.3119583,48.49757767,24.27633286,82.67438507,141.265274,106.3603363,438.0619507,104.5912399,283.598877,255.7803802,15.30827713,39.20261765,64.07434082,1.600396395,48.52958679,10.84782028,57.62292862,49.76855469,45.23206711,95.46504211,43.31448746,106.6746063,117.3858948,8.473898888,39.70597839,2.299999952,86.13045502
4/16/2019,65.52709961,18.224001,46.79162216,2.70906806,52.55789185,14.71459675,170.9072113,52.44533539,117.0405884,48.50244522,24.88153076,81.84446716,141.1879272,107.543251,431.0718994,104.1463394,285.4811401,252.9469147,14.93916893,38.56840134,64.83444214,1.637614846,48.16112137,10.91983891,57.99798203,52.10055542,44.54988098,97.96259308,44.48754883,108.2425003,120.1184769,8.556706429,40.01407623,2.220000029,89.25970459
