,Symbol,alpha,beta,r-squared,share_ratio,treynor_ratio,f_test,1 Year,2 Year,3 Year,YTD,Weekly,Monthly
0,MSFT,15.373278466821624,1.1463858320034983,72.2217255514545,1.0356894712884566,0.2961251788714719,1968.1512738928864,25.242037804682397,43.93035963420955,38.94737095577572,-7.808102243049786,2,1
1,TXN,2.2299366120578945,1.1527517727764809,63.84942758582086,0.5766978974509899,0.1470272527240564,1337.0194012061786,-5.313230689831894,40.67222171101166,21.948592622411176,-2.750695703467765,2,2
2,AAPL,26.13935942767896,1.1701330449555285,63.274668876800575,1.2769911193502612,0.4297269881391633,1304.2475826577436,39.27404150480032,71.28812117244807,55.28377491308474,-1.7108313070771874,2,2
3,AVGO,7.490602506834502,1.321000659074735,61.95519413367532,0.6954272513798113,0.2025825995678936,1232.759134689284,32.026338846148164,72.86946816886154,31.76117475462605,-5.138218739755384,2,2
4,CDW,2.241751202570253,1.2140951834709297,61.37875002064783,0.562444064622457,0.1488360649837977,1203.060848379351,4.689683786383947,43.07337103432107,23.07011496235951,-12.917625130971476,2,2
5,INTU,1.7649176724781377,1.2423401424214742,61.09140731179589,0.5467132506695924,0.1448505414591727,1188.585660386784,20.946105084346332,49.999545955885736,22.99536423062163,-24.677115737303623,4,4
6,NVDA,35.626196374138225,1.5528876257726565,52.167384753451984,1.1783692247980937,0.4870927055862312,825.6021556591163,91.10390767963446,109.88057849567126,80.6400235108982,-9.161358830870892,3,2
7,BRKR,0.132024592248463,1.1317861503473388,46.40707192004759,0.4380289248939708,0.1241279030942639,655.4997963736417,-3.46335976699843,43.896913235293326,19.048624159374448,-22.49352760732286,2,2
8,TER,13.491980592217846,1.391579718543839,45.42685485354646,0.7129669251276795,0.2613792073294916,630.1291419406015,-12.012584522806812,49.96327158778706,41.373000376878565,-28.77296642774656,2,2
9,QCOM,14.050220645274308,1.2788928992045876,44.1137941253248,0.7397148585507151,0.2722977939207059,597.5381872900304,6.613507129434848,52.34928082554377,39.82397151142649,-19.2851867759294,2,2
10,EQIX,6.285665627553634,0.8043117589912995,36.62677091399948,0.5909094434723693,0.1944778208433847,437.51069626374033,12.260031793110237,14.950734512987562,20.64207981673376,-9.404192861573456,2,1
11,SPNS,3.529549871294954,1.003581157045151,32.9168556059621,0.4533945182714903,0.1580202405113123,371.45038323409193,-19.41524913861528,22.092323895100364,20.858613580889585,-24.78955218112646,2,2
12,MGIC,13.20044965692678,0.8861318253428478,29.48139460252579,0.6966664840626234,0.291683764794186,316.475568232258,15.015939156859282,57.251090013180026,30.847026691994596,-15.306209760075372,2,2
13,ESLT,8.027044621269571,0.6451715172490747,24.273348985225184,0.5797634244096178,0.2312082245574304,242.6480629419408,55.22567123795683,35.96201416907625,19.916896103818218,26.32515652241578,0,0
14,LOGI,8.501411483655996,0.797467942378411,23.36757039867964,0.5315548225802714,0.228482503217581,230.832441093525,-34.108507439527905,30.84911774811232,23.220747171039303,-13.385063610814251,2,2
15,TSLA,76.35280809776481,1.407026162352906,22.589221379055843,1.4201350987616128,1.1419696333695089,220.89999465938337,56.948120248754485,235.57731769258135,165.6781150763455,2.631572867812504,2,1
16,AUDC,7.171981705124487,0.9237731577455488,19.19013546758161,0.4267502963992604,0.2043467528485944,179.76682219448006,-8.268921256227092,6.647032111248086,23.87700451539953,-26.10931484422423,2,2
17,ATVI,8.371307891136915,0.635437434209701,17.00525973138547,0.4983423857938697,0.2385445825080797,155.10599316288088,-17.021230429969535,19.2333747499724,20.15801574535585,21.47903378584488,2,2
