,alpha,beta,r-squared,share_ratio,treynor_ratio,f_test,1 Year,2 Year,3 Year,YTD
MSFT,14.31639277458805,1.1471539490059055,72.24934723703848,1.0016432147899106,0.2833285521415251,1970.8637604170492,24.230136106315502,42.624885156896774,37.50214674552761,-7.998334919124705
AVGO,3.7679957847918004,1.3260507880658319,62.20281305200949,0.6001943212424253,0.16621439550045192,1245.7945493447519,28.35325908942019,67.44100108151079,27.04087301412601,-5.7753866037481005
CDW,1.1247506309458402,1.2144190297627975,61.38711694872207,0.5312569595956061,0.1375874052671455,1203.4855690125585,3.6553372587883493,41.47706683873664,21.708876321210766,-13.175114757300433
INTU,1.0558784590884116,1.2417201099060549,61.063862969157256,0.5272902468417591,0.1378346778675471,1187.209307154309,20.338688019098015,48.95103608174658,22.115209135055625,-24.76446627903357
TER,13.012789363543806,1.3916655649555196,45.432665213788276,0.7029440277048454,0.2565196270989998,630.2768442252774,-12.292734398552785,49.394635754350034,40.698953176890875,-28.838745184369785
QCOM,11.694106795157904,1.2749192049440126,43.88946764210767,0.685793262632939,0.24698151579959676,592.1228263021866,4.745955960949111,49.348610931784066,36.4881477759089,-19.620495433914865
EQIX,4.631242519538171,0.8060458846860633,36.76879845067621,0.5377136947729249,0.16987725198952464,440.19376107300235,10.541261010662906,13.197275061351487,18.69288598679337,-9.793814432989677
SPNS,2.5801408750606623,1.00222553003057,32.841469269475596,0.4294831408195138,0.1466006964621725,370.1836827959876,-20.325953259532557,21.05774397189817,19.692696071465154,-24.78955007256899
MGIC,10.44571824807395,0.8846444983306821,29.32601479959477,0.622387509024018,0.2516700258446445,314.11548592233555,12.379730596536454,52.13148731268067,27.26385037582053,-16.292403248925
ESLT,6.914896861900234,0.6448306967296136,24.238572801736385,0.5427156856561874,0.21067045864932432,242.1892022030833,53.33193921650658,34.27155355567535,18.584677863119104,26.32515936369384
LOGI,7.209899686191067,0.7993650912378136,23.463425024705106,0.4982208530346102,0.20858514658325955,232.06960527610588,-34.71029062328629,29.51405554859403,21.673568472937998,-13.385063045586843
AUDC,4.96702935869259,0.9224581849220466,19.142567405362506,0.38114044888901794,0.17509734992539658,179.215726506019,-10.427712972781789,4.420373767916286,21.15199835968418,-27.058146229130674
ATVI,8.007567369224887,0.6343663842588456,16.951533516181442,0.4877274154858816,0.23177234573093164,154.51592804846842,-17.421068764687764,18.556535770547367,19.70285849325222,21.47903201563206
